E, P
484.05909839261227, 7544.991473541785
484.05909839261227, 7544.991473541785
479.9964437588405, 7525.650373118402
373.45541619754573, 7061.947467404372
459.6225709528411, 7424.534673168925
455.9390259724577, 7403.463361481427
577.8386844119045, 7936.632673513346
577.8949866294697, 7942.0068479453075
548.350608902298, 7811.963044215427
480.0764320593331, 7515.513262643899
480.0764320593331, 7515.513262643899
480.0764320593331, 7515.513262643899
480.0764320593331, 7515.513262643899
480.0764320593331, 7515.513262643899
389.0293653090015, 7128.585853560637
389.3196059144198, 7129.9078400041435
389.3196059144198, 7129.9078400041435
389.3196059144198, 7129.9078400041435
321.4624084282145, 6841.071137678782
321.4624084282145, 6841.071137678782
321.4624084282145, 6841.071137678782
342.7345076971536, 6935.340836516173
364.5491883391589, 7037.233079191518
596.7865535328377, 8028.95601202509
